,index,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3,temperature_2m,relative_humidity_2m,wind_speed_10m,hour,day,month,day_of_week,season,aqi_change_rate,temp_change_rate,humidity_change_rate
1970-01-01 00:00:00.000000000,2023-01-26 13:00:00,2,801.09,0.7,27.08,91.55,17.64,22.69,37.9,9.5,20.0,17.0,22.9,0,1,1,3,1,,,
1970-01-01 00:00:00.000000001,2023-01-26 14:00:00,3,1068.12,0.0,35.99,85.12,24.56,36.35,55.93,13.43,18.5,21.0,20.6,0,1,1,3,1,1.0,-1.5,4.0
1970-01-01 00:00:00.000000002,2023-01-26 15:00:00,4,1228.33,0.0,36.33,91.55,32.9,55.45,79.91,16.97,17.6,23.0,17.3,0,1,1,3,1,1.0,-0.8999999999999986,2.0
1970-01-01 00:00:00.000000003,2023-01-26 16:00:00,5,1495.36,0.0,40.1,92.98,37.67,79.97,111.3,23.05,16.8,25.0,17.1,0,1,1,3,1,1.0,-0.8000000000000007,2.0
1970-01-01 00:00:00.000000004,2023-01-26 17:00:00,5,1708.98,0.0,41.81,88.69,34.81,98.79,136.3,28.63,15.9,27.0,17.8,0,1,1,3,1,0.0,-0.9000000000000004,2.0
1970-01-01 00:00:00.000000005,2023-01-26 18:00:00,5,1789.09,0.0,41.47,83.68,29.56,105.85,147.09,30.65,15.3,29.0,17.1,0,1,1,3,1,0.0,-0.5999999999999996,2.0
1970-01-01 00:00:00.000000006,2023-01-26 19:00:00,5,1575.47,0.0,36.67,84.4,24.8,93.95,133.33,25.33,14.9,29.0,18.2,0,1,1,3,1,0.0,-0.40000000000000036,0.0
1970-01-01 00:00:00.000000007,2023-01-26 20:00:00,4,1081.47,0.0,24.33,95.84,20.27,67.6,99.05,15.2,14.5,30.0,20.7,0,1,1,3,1,-1.0,-0.40000000000000036,1.0
1970-01-01 00:00:00.000000008,2023-01-26 21:00:00,4,807.76,0.0,15.77,104.43,19.79,58.06,83.7,11.27,14.1,33.0,20.4,0,1,1,3,1,0.0,-0.40000000000000036,3.0
1970-01-01 00:00:00.000000009,2023-01-26 22:00:00,4,714.3,0.0,12.85,108.72,21.93,54.29,75.97,10.13,13.5,35.0,19.7,0,1,1,3,1,0.0,-0.5999999999999996,2.0
1970-01-01 00:00:00.000000010,2023-01-26 23:00:00,4,687.6,0.0,12.51,107.29,24.08,51.1,71.62,9.75,13.2,36.0,20.7,0,1,1,3,1,0.0,-0.3000000000000007,1.0
1970-01-01 00:00:00.000000011,2023-01-27 00:00:00,3,680.92,0.0,12.85,105.86,25.27,48.74,69.9,9.5,13.2,38.0,21.3,0,1,1,3,1,-1.0,0.0,2.0
1970-01-01 00:00:00.000000012,2023-01-27 01:00:00,3,720.98,0.0,14.74,104.43,25.27,48.73,71.93,10.01,12.6,40.0,20.2,0,1,1,3,1,0.0,-0.5999999999999996,2.0
1970-01-01 00:00:00.000000013,2023-01-27 02:00:00,4,974.66,0.0,23.31,94.41,26.7,58.97,86.36,14.57,12.4,40.0,20.2,0,1,1,3,1,1.0,-0.1999999999999993,0.0
1970-01-01 00:00:00.000000014,2023-01-27 03:00:00,5,1628.88,0.17,47.3,71.53,30.52,84.69,119.65,24.07,12.9,38.0,21.1,0,1,1,3,1,1.0,0.5,-2.0
1970-01-01 00:00:00.000000015,2023-01-27 04:00:00,5,2056.12,5.59,61.69,60.08,33.38,97.57,138.81,28.37,14.9,32.0,19.1,0,1,1,3,1,0.0,2.0,-6.0
